20| 10000| 2020-04-21|6
22| 20| 2020-04-22|2
23| 898| 2020-04-22|4
24| 120| 2020-04-24|7
27| 99| 2020-04-22|6
28| 40| 2020-04-22|3
29| 490| 2020-04-26|4
31| 109| 2020-04-23|8
32| 99| 2020-04-15|8
35| 45| 2020-04-23|11
36| 100| 2020-04-23|13
37| 103| 2020-04-23|13
38| 9| 2020-04-24|6
47| 70| 2020-04-18|13
50| 90| 2020-05-01|15
53| 89| 2020-04-25|3
54| 90| 2020-03-01|6
55| 200| 2020-04-27|20
56| 200| 2020-04-27|11
67| 90| 2020-11-11|26
68| 3000| 2020-11-12|6
69| 80| 2020-11-15|20
71| 70989| 2020-12-11|28
